time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7806,unknown,False,343.4,N,210,-133.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.38,0.90,-4.7,-1.2,-0.9,0
8812,unknown,False,275.2,W,210,-65.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.36,0.87,-4.5,-3.2,-0.5,0
9823,manual,False,256.8,W,210,-46.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.6,-1.1,-0.8,0
10903,manual,False,251.5,W,210,-41.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.89,-4.6,-1.2,-0.7,0
12008,manual,False,250.3,W,210,-40.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.90,-4.6,-1.2,-0.7,0
13094,hover,False,250.0,W,210,-40.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.40,0.92,-4.3,-2.7,-1.0,1
14134,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.43,0.96,-4.8,-0.3,-0.9,1
15227,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.36,0.87,-4.6,-2.1,-1.1,2
16326,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.40,0.91,-5.0,-0.5,-1.1,3
17422,hover,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.94,-4.2,-3.4,-0.6,3
18524,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.37,0.89,-4.9,-1.9,-0.2,3
20000,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.40,0.95,-5.3,-1.2,-0.4,3
21104,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.35,0.87,-5.2,-0.5,-0.5,2
22213,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.32,0.88,-4.6,-1.0,-0.5,2
23227,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.38,0.92,-5.0,0.8,-0.4,1
24350,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.02,-0.40,0.90,-5.0,-1.4,-0.3,0
25444,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.40,0.88,-4.7,-0.9,-0.9,0
26537,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.39,0.83,-4.3,-2.4,-0.8,-1
27610,manual,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.89,-4.7,-1.3,-1.0,-2
28710,manual,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.89,-4.7,-1.1,-0.8,-2
29813,manual,False,249.8,W,210,-39.8,1143,1142,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.89,-4.6,-1.3,-0.9,-2
30931,manual,False,249.7,W,210,-39.7,1274,1275,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.38,0.89,-4.7,-1.1,-0.9,-2
31932,manual,False,249.6,W,210,-39.6,1367,1367,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.89,-4.8,-1.4,-0.6,-2
32951,manual,False,249.5,W,210,-39.5,1460,1460,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.38,0.89,-4.6,-1.0,-0.7,-2
34052,manual,False,249.5,W,210,-39.5,1289,1300,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.37,0.90,-4.7,-1.1,-0.7,-2
35092,manual,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.90,-4.5,-1.1,-0.8,-2
36168,manual,False,249.8,W,210,-39.8,1164,1164,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.38,0.89,-4.8,-0.8,-0.9,-2
37168,manual,False,249.6,W,210,-39.6,1600,1621,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.88,-5.0,-1.2,-0.8,-2
38240,manual,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.89,-4.5,-1.2,-1.0,-2
39241,manual,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.89,-4.5,-1.1,-0.9,-2
40241,manual,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.89,-4.6,-1.1,-0.8,-2
41343,manual,False,249.9,W,210,-39.9,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.39,0.90,-4.6,-1.3,-0.6,-2
42355,manual,False,249.9,W,210,-39.9,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.6,-1.1,-0.8,-2
