time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7495,unknown,False,336.8,NW,210,-126.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.47,0.86,-4.6,-1.5,-0.7,0
8540,unknown,False,235.6,SW,210,-25.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.45,0.91,-4.3,-1.1,-0.7,1
9595,unknown,False,212.1,SW,210,-2.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.49,0.83,-5.0,-1.5,-1.0,2
10646,unknown,False,206.5,SW,210,3.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.53,0.86,-4.3,-0.7,-1.0,2
11706,unknown,False,205.1,SW,210,4.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.51,0.88,-4.5,-2.6,-1.0,3
12757,unknown,False,204.9,SW,210,5.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.48,0.89,-4.3,-1.7,-1.0,3
