time_ms,mode,path_planning,heading,cardinal,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
381542,autonomous,False,339.2,N,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.8,-1.1,-0.8,0
382620,hover,False,249.1,W,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.52,0.83,-5.3,-1.1,-1.0,1
383679,hover,False,228.1,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.50,0.84,-4.8,-1.4,-0.7,2
384751,hover,False,223.4,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.52,0.82,-5.2,-1.4,-0.6,2
385811,hover,False,222.2,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.48,0.82,-5.5,-2.0,-0.8,3
386894,hover,True,221.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.7,-1.3,-0.8,4
387969,hover,True,221.9,SW,1083,1082,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.54,0.80,-4.3,-0.2,-0.5,3
389062,hover,True,222.3,SW,1172,1172,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.50,0.82,-5.0,-0.2,-0.9,2
390141,hover,True,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.4,-1.7,-1.0,1
391242,hover,False,222.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.10,-0.47,0.79,-4.4,-1.3,-1.0,0
392321,hover,False,221.8,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.48,0.83,-5.0,-1.0,-0.6,0
393388,manual,False,221.6,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.84,-4.6,-1.2,-0.7,0
394472,hover,False,221.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.86,-4.5,-0.3,-0.8,0
395536,hover,False,221.7,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.50,0.83,-3.6,-1.6,-0.6,-1
396622,hover,False,221.6,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.48,0.83,-4.8,-1.3,-0.7,-2
