time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
8153,unknown,False,343.3,N,210,-133.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.35,0.92,-4.7,-1.1,-0.8,0
9154,unknown,False,274.6,W,210,-64.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.36,0.92,-4.7,-0.7,-1.2,1
10237,manual,False,254.8,W,210,-44.8,1023,1024,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.91,-4.7,-1.2,-0.7,1
11304,manual,False,250.1,W,210,-40.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.34,0.92,-4.8,-1.3,-0.9,1
12305,manual,False,249.1,W,210,-39.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.34,0.91,-4.7,-1.1,-0.8,1
13386,manual,False,248.5,W,210,-38.5,1093,1084,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.35,0.90,-4.7,-1.3,-0.9,1
14405,manual,False,249.0,W,210,-39.0,1192,1193,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.35,0.90,-4.4,-1.5,-1.0,1
15486,manual,False,249.3,W,210,-39.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.91,-4.5,-1.3,-0.8,1
16515,autonomous,False,249.1,W,210,-39.1,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.33,0.93,-4.9,-1.3,-0.8,1
17607,autonomous,False,249.0,W,210,-39.0,1036,1035,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.35,0.92,-4.6,-1.0,-0.8,1
18715,autonomous,False,248.3,W,210,-38.3,1040,1039,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.33,0.96,-4.6,-1.6,-0.4,2
19736,autonomous,False,248.4,W,210,-38.4,1057,1056,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.34,0.91,-4.7,-0.8,-1.0,2
20756,manual,False,248.5,W,210,-38.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.92,-4.5,-1.4,-1.0,2
22984,manual,False,248.6,W,210,-38.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.34,0.92,-4.7,-1.3,-0.8,2
24012,manual,False,248.9,W,210,-38.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.35,0.90,-4.5,-1.1,-0.8,2
25012,manual,False,248.7,W,210,-38.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.13,-0.24,0.79,-10.0,-1.3,-2.1,2
26022,manual,False,248.6,W,210,-38.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.95,-4.6,-0.7,-0.8,2
27141,manual,False,248.8,W,210,-38.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.91,-4.5,-1.3,-0.8,2
28153,manual,False,248.7,W,210,-38.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.34,0.91,-4.6,-1.1,-0.8,2
29242,manual,False,248.9,W,210,-38.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.91,-4.6,-1.2,-0.7,2
30335,manual,False,248.6,W,210,-38.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.00,-0.34,0.92,-4.5,-2.2,-0.7,2
31344,manual,False,249.0,W,210,-39.0,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.36,0.91,-4.7,-1.1,-0.7,2
