time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7841,unknown,False,343.5,N,210,-133.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.03,-0.39,0.89,-4.7,-1.1,-0.9,0
8841,unknown,False,275.5,W,210,-65.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.10,-0.36,0.83,-4.7,-2.1,-0.9,0
9955,manual,False,255.8,W,210,-45.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.90,-4.7,-1.1,-0.7,0
11022,manual,False,251.3,W,210,-41.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.88,-4.6,-1.1,-0.8,0
12091,hover,False,250.2,W,210,-40.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.37,0.85,-4.2,-3.3,-1.3,0
13190,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.36,0.83,-4.0,-3.1,-1.0,1
14236,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.43,0.91,-4.5,-1.5,-0.3,2
15332,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.40,0.93,-4.5,-1.5,-1.4,3
16439,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.91,-4.1,-2.6,-1.1,3
17538,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.37,0.89,-4.5,-0.9,-0.8,3
18616,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.37,0.88,-4.4,-1.8,-0.6,3
19694,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.38,0.89,-4.5,-2.2,-0.6,2
20794,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.90,-4.9,1.8,-0.2,1
21804,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.86,-4.6,-2.4,-0.7,1
22924,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.33,0.87,-4.6,-1.4,-0.3,0
23994,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.41,0.95,-4.6,0.5,-0.1,-1
