time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7945,unknown,False,348.5,N,210,-138.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.33,0.93,-4.7,-1.1,-1.0,0
9047,hover,False,298.7,NW,210,-88.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.30,0.93,-5.4,-0.9,-1.1,1
10094,hover,False,287.2,W,210,-77.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.26,0.91,-4.9,-1.7,-1.1,2
11181,hover,False,284.5,W,210,-74.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.32,0.92,-5.1,-2.9,-1.0,2
12227,hover,False,283.9,W,210,-73.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.36,0.92,-4.9,-3.4,-0.8,3
13294,hover,False,283.8,W,210,-73.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.05,-0.37,0.93,-4.1,-0.5,-0.6,3
14376,hover,False,283.8,W,210,-73.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.36,0.92,-4.8,-2.1,-0.3,3
16140,hover,False,283.8,W,210,-73.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.28,0.96,-4.8,-1.3,-0.7,3
17226,hover,False,283.8,W,210,-73.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.91,-4.7,-0.8,-0.9,2
18300,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.32,0.93,-4.5,-0.6,-0.7,1
19407,hover,False,283.8,W,210,-73.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.25,0.96,-5.1,0.6,-1.1,1
20511,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.31,0.93,-5.0,-0.4,-0.9,0
21512,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.36,0.89,-4.3,-2.2,-0.6,-1
22511,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.06,-0.34,0.93,-5.3,-0.4,-0.8,-1
23602,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.32,0.89,-4.8,-0.8,-1.3,-2
24686,hover,False,283.6,W,210,-73.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.33,0.93,-4.5,-1.2,-0.6,-3
25782,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.31,0.94,-4.6,0.1,-0.7,-3
