time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
5668,unknown,False,338.0,N,210,-128.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.36,0.91,-4.4,-2.1,-1.1,0
6769,manual,False,242.2,SW,210,-32.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.36,0.91,-4.3,-0.1,-0.7,1
7869,manual,False,219.9,SW,210,-9.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.37,0.90,-7.2,-1.0,-3.7,1
8959,manual,False,215.1,SW,210,-5.1,1547,1544,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.31,0.94,-2.7,0.9,-6.9,1
10068,manual,False,213.2,SW,210,-3.2,1594,1591,1000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.34,0.92,-5.2,2.4,0.6,1
11159,manual,False,213.5,SW,210,-3.5,1593,1593,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.93,-5.0,6.1,7.4,1
12270,manual,False,214.9,SW,210,-4.9,1593,1593,1000,FIX,29.875770,-98.485280,320.4,8,-0.04,-0.39,0.88,-5.2,1.5,-18.2,1
13352,manual,False,218.4,SW,210,-8.4,1593,1593,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.39,0.95,-4.2,-1.9,-31.2,1
14434,manual,False,225.0,SW,210,-15.0,1593,1593,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.33,0.84,-1.0,5.6,-27.1,1
15553,manual,False,234.1,SW,210,-24.1,1593,1593,1000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.41,0.73,-4.4,6.9,-22.6,1
16555,manual,False,240.9,SW,210,-30.9,1594,1591,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.31,0.80,-2.2,3.2,-22.6,1
17668,manual,False,251.3,W,210,-41.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.37,0.92,-2.7,-0.6,-7.8,1
18751,manual,False,255.6,W,210,-45.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.37,0.90,-3.6,0.5,0.8,1
