time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
1141588,unknown,False,339.4,N,210,-129.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.8,-1.3,-0.6,0
1142676,hover,False,249.2,W,210,-39.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.50,0.85,-4.6,-1.2,-0.6,0
1143714,hover,False,228.3,SW,210,-18.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.52,0.83,-4.9,-0.4,-0.8,1
1144810,hover,False,223.5,SW,210,-13.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.51,0.82,-5.0,-1.3,-0.5,2
1145910,hover,False,222.2,SW,210,-12.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.54,0.83,-5.4,-1.5,-0.6,2
1147030,hover,False,222.0,SW,210,-12.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.52,0.86,-5.0,-1.3,-0.8,3
1148081,hover,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.08,-0.53,0.79,-4.6,-1.5,-1.0,3
1149172,manual,False,222.0,SW,210,-12.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.52,0.84,-4.7,-1.2,-0.8,3
1150271,manual,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.7,-1.1,-0.9,3
1151364,manual,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.49,0.84,-4.7,-1.2,-0.9,3
1152452,manual,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.85,-4.5,-1.3,-0.8,3
1153579,manual,False,222.2,SW,210,-12.2,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.6,-1.2,-0.9,3
1154652,manual,False,222.3,SW,210,-12.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.51,0.84,-4.6,-1.4,-0.8,3
1155726,manual,False,222.4,SW,210,-12.4,1613,1613,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.50,0.84,-4.8,-1.0,-0.8,3
1156783,manual,False,222.3,SW,210,-12.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.83,-4.6,-1.4,-1.0,3
1157873,manual,False,222.0,SW,210,-12.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.51,0.83,-4.6,-1.1,-0.9,3
1158971,hover,False,222.2,SW,210,-12.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.49,0.82,-4.5,-0.9,-0.7,3
1159983,hover,False,222.2,SW,210,-12.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.48,0.82,-4.4,-1.5,-1.1,2
1161074,hover,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.50,0.85,-4.3,-0.8,-0.4,1
1162164,hover,False,222.2,SW,210,-12.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.47,0.83,-4.4,-1.1,-1.1,1
1163261,hover,False,222.1,SW,210,-12.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.53,0.88,-5.1,0.1,-0.5,0
