time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7694,unknown,False,347.1,N,210,-137.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.47,0.85,-4.7,-1.2,-0.8,0
8782,manual,False,291.2,W,210,-81.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.45,0.86,-4.8,-1.4,-0.9,0
9895,manual,False,278.3,W,210,-68.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.49,0.86,-4.5,-1.1,-1.0,0
11014,manual,False,275.4,W,210,-65.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.47,0.85,-4.7,-0.7,-0.9,0
12104,manual,False,274.6,W,210,-64.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.48,0.85,-4.6,-1.3,-1.0,0
13165,manual,False,274.5,W,210,-64.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.86,-4.6,-1.1,-0.7,0
14167,manual,False,274.5,W,210,-64.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.86,-4.9,-1.2,-0.8,0
15262,manual,False,274.4,W,210,-64.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.86,-4.6,-1.3,-0.9,0
16347,manual,False,274.5,W,210,-64.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.48,0.85,-4.8,-1.2,-0.9,0
17428,manual,False,274.4,W,210,-64.4,1059,1060,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.86,-4.7,-1.1,-0.8,0
18496,manual,False,273.4,W,210,-63.4,1858,1865,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.50,0.93,-4.4,-1.6,-0.4,0
19566,manual,False,273.5,W,210,-63.5,1114,1115,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.85,-4.5,-0.8,-0.7,0
20666,manual,False,274.4,W,210,-64.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.86,-4.6,-1.2,-0.7,0
21738,manual,False,274.4,W,210,-64.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.48,0.85,-4.7,-1.1,-0.7,0
22827,manual,False,274.5,W,210,-64.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.86,-4.6,-1.2,-0.8,0
23897,manual,True,274.3,W,210,-64.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.48,0.85,-4.5,-1.4,-0.7,0
24926,manual,True,273.7,W,210,-63.7,1086,1087,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.48,0.86,-4.4,-1.3,-1.3,0
25977,manual,True,274.2,W,210,-64.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.85,-4.6,-1.3,-0.8,0
27107,manual,False,274.4,W,210,-64.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.48,0.85,-4.7,-1.2,-0.8,0
28158,autonomous,False,274.2,W,210,-64.2,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.46,0.84,-4.9,-0.6,-1.3,0
29179,autonomous,False,273.7,W,210,-63.7,1035,1035,2000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.50,0.86,-4.4,-0.3,-0.5,1
30218,autonomous,False,274.1,W,210,-64.1,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.48,0.85,-4.4,-2.4,-0.8,1
31254,autonomous,False,274.2,W,210,-64.2,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.50,0.72,-3.8,-1.4,-0.3,2
32350,manual,False,274.4,W,210,-64.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.47,0.87,-4.5,-1.0,-0.9,2
33359,manual,False,274.5,W,210,-64.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.47,0.85,-4.7,-1.2,-0.7,2
34359,manual,False,274.6,W,210,-64.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.03,-0.47,0.85,-4.7,-1.1,-0.9,2
35518,manual,True,274.5,W,210,-64.5,1093,1093,1000,NO_FIX,N/A,N/A,N/A,0,0.02,-0.48,0.83,-4.4,-1.3,-0.7,2
37119,manual,True,273.9,W,210,-63.9,1403,1406,1000,NO_FIX,N/A,N/A,N/A,0,-0.03,-0.48,0.83,-4.3,-1.2,-0.6,2
38179,manual,True,274.2,W,210,-64.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.48,0.85,-4.6,-1.2,-1.0,2
39240,manual,True,273.7,W,210,-63.7,1211,1200,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.48,0.85,-5.0,-1.4,-0.7,2
40299,manual,True,274.3,W,210,-64.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.48,0.85,-4.6,-1.1,-1.0,2
41390,manual,True,274.4,W,210,-64.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.48,0.86,-4.6,-1.3,-0.8,2
42410,autonomous,False,274.0,W,210,-64.0,1453,1454,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.45,0.87,-4.9,-1.9,-1.0,2
43431,autonomous,False,274.1,W,210,-64.1,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.51,0.85,-4.6,-1.2,-1.0,3
44521,autonomous,False,274.2,W,210,-64.2,1280,1280,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.45,0.90,-6.2,0.5,-1.6,3
45601,autonomous,False,273.9,W,210,-63.9,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.52,0.81,-4.0,0.3,-0.7,3
46631,autonomous,False,274.3,W,210,-64.3,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.49,0.74,-3.6,-2.3,-0.6,4
47751,autonomous,False,274.4,W,210,-64.4,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.46,0.77,-5.1,-1.1,-0.8,3
49292,autonomous,False,274.4,W,210,-64.4,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.49,0.86,-5.4,-1.2,-0.7,3
50353,autonomous,False,274.4,W,210,-64.4,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.43,0.91,-5.7,-2.9,-1.0,2
51432,autonomous,False,274.5,W,210,-64.5,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.51,0.89,-4.5,-1.3,-0.7,2
52533,hover,False,274.4,W,210,-64.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.54,0.88,-5.3,-1.8,-0.8,1
53653,hover,False,274.5,W,210,-64.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.52,0.87,-5.6,-1.9,-1.0,1
