time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
8205,unknown,False,349.5,N,210,-139.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.89,-4.7,-1.7,-1.0,0
9250,hover,False,303.4,NW,210,-93.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.37,0.95,-4.7,-1.2,-1.1,1
10356,hover,False,292.8,NW,210,-82.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.41,0.96,-4.8,-1.7,-1.0,1
11413,hover,False,290.3,W,210,-80.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.41,0.91,-4.5,-1.6,-0.9,2
12486,hover,False,289.9,W,210,-79.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.41,0.91,-4.6,-1.8,-0.9,3
13555,hover,False,289.8,W,210,-79.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.41,0.93,-4.9,-1.5,-0.9,3
14598,hover,False,289.5,W,210,-79.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.39,0.81,-4.9,-1.4,-0.3,3
15687,hover,False,289.4,W,210,-79.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.90,-4.8,-2.7,-0.9,3
16748,hover,False,289.6,W,210,-79.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.83,-5.1,-2.0,-0.6,2
17838,hover,False,289.7,W,210,-79.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.38,0.91,-4.7,-1.7,-0.8,1
18897,hover,False,289.6,W,210,-79.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.37,0.90,-4.7,-0.9,-0.8,1
19999,hover,False,289.8,W,210,-79.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.41,0.83,-4.9,-1.8,-0.6,0
21084,hover,False,289.7,W,210,-79.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.36,0.95,-4.6,-1.1,-0.6,-1
22174,hover,False,289.6,W,210,-79.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.90,-4.8,-1.7,-1.0,-1
23246,hover,False,289.6,W,210,-79.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.39,0.93,-4.7,-0.9,-1.0,-2
24305,hover,False,289.7,W,210,-79.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.86,-4.6,-1.4,-0.7,-2
25354,hover,False,289.7,W,210,-79.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.38,0.94,-4.7,-1.2,-1.0,-3
26450,hover,False,289.6,W,210,-79.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.38,0.86,-4.7,-1.4,-0.7,-3
