time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
8154,unknown,False,348.4,N,210,-138.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.33,0.92,-4.6,-1.3,-0.8,0
9168,unknown,False,300.6,NW,210,-90.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.33,0.95,-4.8,-0.6,-1.2,0
10175,hover,False,287.6,W,210,-77.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.32,0.86,-4.9,-1.5,-1.1,1
11263,hover,False,283.9,W,210,-73.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.30,0.87,-5.2,-2.6,-1.1,2
12364,hover,False,283.0,W,210,-73.0,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.02,-0.31,0.91,-4.8,-1.4,-1.3,2
13449,hover,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.31,0.87,-4.8,-1.5,-0.8,3
14547,hover,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.29,0.94,-4.9,-0.9,-1.6,4
15631,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.31,0.95,-4.9,-0.9,-0.7,3
17570,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.31,0.90,-4.9,-1.2,-0.8,3
18581,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.34,0.90,-4.5,-0.8,-1.1,2
19671,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.09,-0.33,0.93,-5.0,-0.5,-0.6,1
20752,hover,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.35,0.92,-4.4,-1.4,-1.0,1
21805,hover,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.34,0.96,-4.8,-0.2,-0.9,0
22911,hover,False,282.5,W,210,-72.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.31,0.94,-5.1,-0.7,-0.9,-1
23945,hover,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.30,0.92,-4.3,-1.5,-1.0,-1
25042,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.33,0.96,-5.5,-1.8,-1.1,-2
26048,hover,False,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.36,1.00,-5.7,-0.6,-0.9,-3
27162,manual,False,282.5,W,210,-72.5,1169,1169,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.30,0.92,-4.6,-1.3,-1.2,-3
28243,manual,False,282.4,W,210,-72.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.32,0.94,-4.9,-0.9,-1.0,-3
29373,manual,False,282.6,W,210,-72.6,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.33,0.91,-4.7,-1.1,-0.9,-3
30455,manual,False,282.8,W,210,-72.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.91,-4.7,-1.3,-0.8,-3
31503,autonomous,False,282.3,W,210,-72.3,999,999,2000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.32,0.97,-4.5,-1.4,-0.8,-4
32573,autonomous,False,282.5,W,210,-72.5,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.32,0.92,-4.5,-1.4,0.0,-3
33574,autonomous,False,282.7,W,210,-72.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.36,0.94,-4.2,-2.2,-0.4,-3
34674,autonomous,False,282.7,W,210,-72.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.37,0.88,-4.7,-3.0,-1.1,-2
35754,autonomous,False,282.6,W,210,-72.6,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.08,-0.31,0.90,-5.0,-2.2,-1.4,-1
36836,manual,False,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.32,0.92,-4.9,-0.9,-0.7,-1
37884,manual,True,282.2,W,210,-72.2,1175,1144,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.32,0.91,-4.9,-0.9,-0.9,-1
38984,manual,True,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.92,-4.7,-1.2,-1.1,-1
40085,manual,True,282.7,W,210,-72.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.32,0.91,-4.7,-1.1,-0.9,-1
41125,autonomous,False,282.8,W,210,-72.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.35,0.91,-4.7,-1.9,-0.8,0
42176,autonomous,False,282.8,W,210,-72.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.33,0.86,-5.0,-2.8,-1.0,0
43186,autonomous,False,282.7,W,210,-72.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.32,0.91,-4.9,-1.1,-1.1,1
44267,autonomous,False,282.8,W,210,-72.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.35,0.89,-4.7,-3.6,-1.2,2
45357,autonomous,False,282.7,W,210,-72.7,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.08,-0.29,0.87,-5.1,-1.9,-1.4,2
46426,autonomous,False,282.8,W,210,-72.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.93,-4.7,-1.2,-0.8,3
47517,manual,True,282.4,W,210,-72.4,1482,1482,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.33,0.89,-4.3,-1.3,-0.9,3
48606,manual,True,282.6,W,210,-72.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.91,-4.7,-1.1,-0.9,3
49636,manual,True,282.4,W,210,-72.4,1522,1522,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.34,0.89,-3.7,-1.0,-0.8,3
50676,manual,True,282.4,W,210,-72.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.33,0.91,-4.8,-1.0,-0.8,3
51706,manual,True,282.7,W,210,-72.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.32,0.92,-4.8,-1.2,-0.8,3
52708,manual,False,282.8,W,210,-72.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.32,0.92,-4.6,-1.1,-0.8,3
53708,autonomous,False,282.3,W,210,-72.3,1138,1138,2000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.35,0.92,-4.7,1.1,-0.5,3
54728,autonomous,False,282.5,W,210,-72.5,1337,1334,2000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.34,0.91,-4.1,-1.3,-0.2,4
55748,autonomous,False,282.0,W,210,-72.0,1204,1204,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.31,0.92,-4.9,-2.2,-1.1,3
56881,autonomous,False,282.6,W,210,-72.6,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.34,0.92,-4.7,-1.2,-0.5,3
57939,autonomous,False,282.6,W,210,-72.6,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.31,0.89,-4.9,-1.7,-0.9,2
