time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
8013,unknown,False,345.8,N,210,-135.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.32,0.93,-4.7,-1.1,-0.9,0
9013,unknown,False,287.3,W,210,-77.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.29,0.91,-4.5,-1.0,-0.6,0
10113,manual,False,270.6,W,210,-60.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.8,-1.1,-0.8,0
11164,manual,False,266.7,W,210,-56.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.8,0
12239,manual,False,265.7,W,210,-55.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.6,-1.4,-0.8,0
13288,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.31,0.93,-4.7,-1.0,-0.7,0
14406,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.5,-1.1,-0.8,0
15466,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.8,0
16565,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.91,-4.8,-1.2,-0.8,0
17636,manual,False,265.3,W,210,-55.3,1334,1334,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.95,-4.5,-0.9,-0.7,0
18735,manual,False,265.3,W,210,-55.3,1539,1550,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.6,-1.1,-0.5,0
19837,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.5,-1.1,-0.6,0
20926,manual,False,265.0,W,210,-55.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.94,-4.9,-1.1,-0.9,0
22009,manual,False,265.5,W,210,-55.5,1053,1052,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.6,-1.2,-0.9,0
23106,manual,False,265.4,W,210,-55.4,1054,1054,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-1.0,0
24187,manual,False,265.4,W,210,-55.4,1089,1089,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.33,0.91,-4.6,-1.4,-0.8,0
25187,manual,False,265.3,W,210,-55.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.33,0.92,-4.7,-1.2,-0.6,0
27255,manual,False,265.3,W,210,-55.3,1490,1490,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.8,-1.1,-0.9,0
28361,manual,False,265.3,W,210,-55.3,1085,1084,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.8,-1.1,-0.8,0
29378,manual,False,265.3,W,210,-55.3,1085,1085,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.32,0.93,-4.8,-1.1,-0.8,0
30459,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.1,-0.7,0
31582,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.7,-1.2,-0.8,0
32589,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.7,0
33683,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.5,-1.0,-0.7,0
34692,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.12,-0.30,0.64,-6.1,-2.2,-2.3,0
35803,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.5,-1.0,-0.8,0
36833,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.91,-4.6,-1.2,-0.7,0
37943,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.8,-1.3,-0.8,0
39034,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.6,-1.1,-0.8,0
40064,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.4,-1.5,-1.1,0
41154,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.31,0.86,-5.3,-2.1,-1.3,0
42171,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.1,-0.9,0
43237,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.91,-4.7,-1.2,-0.8,0
44252,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.8,0
45344,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.8,0
46355,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.7,-1.2,-0.8,0
47365,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.9,0
48424,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.91,-4.8,-1.2,-0.8,0
49537,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.8,0
50606,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.9,0
51609,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.5,-1.2,-0.8,0
52696,manual,False,265.6,W,210,-55.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.8,-1.3,-0.9,0
53805,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.6,0
54898,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.7,-1.4,-0.7,0
56036,manual,True,265.3,W,210,-55.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.93,-4.7,-1.1,-0.9,0
57086,manual,True,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.3,-1.0,0
58177,autonomous,False,265.4,W,210,-55.4,1499,1503,2000,NO_DATA,N/A,N/A,N/A,0,-0.10,-0.29,0.95,-4.8,-1.2,-1.0,0
59177,autonomous,False,265.4,W,210,-55.4,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.34,0.91,-4.4,-1.1,-0.5,1
60198,autonomous,False,265.4,W,210,-55.4,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.32,0.94,-4.8,-1.0,-0.5,2
61279,autonomous,False,265.5,W,210,-55.5,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.30,0.92,-4.2,-1.3,-0.9,2
62388,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.30,0.91,-5.4,-1.2,-0.7,2
63468,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.0,-0.7,2
64568,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.5,-1.1,-0.8,2
66672,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.8,2
67691,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.7,2
68749,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.8,-0.9,-0.8,2
69842,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.93,-4.6,-1.3,-0.7,2
70944,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.93,-4.7,-1.3,-0.8,2
71982,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.7,-1.3,-0.9,2
72985,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.7,-1.4,-0.8,2
74105,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.7,-1.3,-0.7,2
75183,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-0.9,-0.9,2
76217,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.1,-0.6,2
77324,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.8,-1.4,-0.8,2
78399,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.1,-0.7,2
79505,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.8,2
80622,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.7,-1.3,-0.8,2
81635,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.7,-1.1,-0.7,2
82656,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.8,-1.2,-0.7,2
83672,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.3,-0.8,2
84685,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.7,-1.3,-0.8,2
85705,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.30,0.91,-4.7,-1.1,-0.6,2
86825,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.93,-4.7,-1.1,-0.8,2
87846,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.8,-1.3,-0.8,2
88886,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.9,2
89936,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.6,-1.2,-0.9,2
91041,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-5.0,-1.3,-0.9,2
92157,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.7,-1.2,-0.8,2
93259,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.91,-4.7,-1.1,-0.8,2
94348,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.7,-1.3,-0.8,2
95353,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.2,-1.0,2
96435,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.7,-1.2,-0.8,2
97521,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.8,-1.2,-0.7,2
98598,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.8,2
99688,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.7,-1.2,-0.7,2
100798,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.3,-0.8,2
101908,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.8,-1.3,-0.7,2
103009,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.31,0.92,-4.7,-1.2,-0.9,2
104009,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.31,0.91,-4.6,-1.2,-0.7,2
106121,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.3,-0.8,2
107232,manual,False,265.5,W,210,-55.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.93,-4.7,-1.2,-0.7,2
108259,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.8,2
109361,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.31,0.92,-4.6,-1.2,-0.7,2
110459,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.91,-4.6,-1.1,-0.7,2
111553,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.32,0.92,-4.7,-1.2,-0.8,2
112604,manual,False,265.4,W,210,-55.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.32,0.92,-4.7,-1.2,-0.8,2
