time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
5697,unknown,False,349.1,N,210,-139.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.90,-4.7,-1.5,-0.8,0
6785,unknown,False,301.5,NW,210,-91.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.95,-4.6,-1.3,-1.0,0
7877,manual,False,291.0,W,210,-81.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.39,0.90,-4.7,-1.2,-0.9,0
8930,manual,False,288.5,W,210,-78.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.39,0.90,-4.8,-1.4,-0.8,0
9998,manual,False,288.0,W,210,-78.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.40,0.91,-4.8,-1.1,-0.7,0
11060,manual,False,288.0,W,210,-78.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.39,0.90,-4.6,-1.3,-0.8,0
12136,manual,False,287.8,W,210,-77.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.40,0.88,-4.8,-1.3,-0.8,0
