time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7601,unknown,False,348.5,N,210,-138.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.00,-0.33,0.92,-4.8,-1.2,-0.9,0
8620,unknown,False,301.1,NW,210,-91.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.33,0.90,-4.4,-2.5,-1.1,0
9681,hover,False,287.5,W,210,-77.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.34,0.90,-4.7,-1.7,-1.1,1
10701,hover,False,284.6,W,210,-74.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.27,0.90,-5.0,-1.2,-1.4,2
11773,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.08,-0.31,0.93,-5.2,-2.3,-0.6,2
12862,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.28,0.93,-5.3,-0.9,-1.1,3
13873,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.35,0.91,-3.7,-0.4,-0.8,4
14942,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.09,-0.38,0.87,-3.8,-1.8,-0.6,3
16034,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.94,-4.4,-0.3,-1.2,2
17119,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.34,0.94,-4.7,-0.7,-0.9,2
18200,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.34,0.88,-4.3,-1.7,-0.8,1
19259,hover,False,283.2,W,210,-73.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.28,0.93,-5.3,-0.2,-1.4,0
20363,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.11,-0.37,0.90,-3.7,-2.4,-0.2,0
21363,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.06,-0.35,0.93,-4.0,-1.5,0.0,-1
22459,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.12,-0.40,0.94,-3.7,-1.2,-0.2,-2
23553,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.34,0.92,-4.6,0.8,-0.6,-2
24661,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.33,0.95,-4.7,-0.3,-0.4,-3
25764,hover,False,283.3,W,210,-73.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.33,0.88,-4.9,-2.4,-0.9,-3
26815,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.32,0.86,-5.4,-2.0,-1.2,-2
27925,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.35,0.91,-4.1,-3.1,-0.2,-2
28937,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.30,0.93,-4.9,-1.7,-0.2,-1
30026,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.30,0.87,-4.9,-3.1,-1.1,0
31137,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.28,0.95,-4.4,-2.0,-0.7,0
32234,hover,False,283.5,W,210,-73.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.26,0.95,-5.9,0.4,-1.6,1
33366,hover,False,283.4,W,210,-73.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.04,-0.36,0.90,-4.5,-1.6,-0.6,2
