time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7610,unknown,False,348.1,N,210,-138.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.03,-0.39,0.90,-4.6,-0.9,-0.8,0
8700,hover,False,296.4,NW,210,-86.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.41,0.84,-4.8,-0.7,-1.8,0
9791,hover,False,284.4,W,210,-74.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.37,0.91,-4.9,-0.1,-0.9,1
10860,hover,False,281.6,W,210,-71.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.38,0.90,-5.1,-0.6,-1.3,2
11952,hover,False,280.9,W,210,-70.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.34,0.88,-5.0,-0.0,-1.4,3
13061,hover,False,280.7,W,210,-70.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.07,-0.38,0.91,-4.9,-1.8,-0.7,3
14163,hover,False,280.6,W,210,-70.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.04,-0.42,0.87,-4.4,-2.0,-0.6,3
15161,hover,False,280.7,W,210,-70.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.37,0.86,-4.7,-1.7,-1.0,3
16162,hover,False,280.8,W,210,-70.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.38,0.92,-4.9,-0.6,0.0,2
17235,manual,False,280.8,W,210,-70.8,1035,1035,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.90,-4.5,-1.2,-0.7,2
18312,manual,False,280.9,W,210,-70.9,1035,1035,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.39,0.90,-4.5,-1.1,-0.8,2
19380,manual,False,280.7,W,210,-70.7,1415,1412,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.39,0.87,-4.8,-0.9,-0.6,2
20383,manual,False,280.2,W,210,-70.2,1057,1057,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.39,0.90,-4.9,-1.0,-1.1,2
21472,manual,False,280.2,W,210,-70.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.88,-4.8,-0.7,-0.9,2
22493,manual,False,280.6,W,210,-70.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.88,-4.7,-1.2,-0.9,2
23544,manual,False,280.8,W,210,-70.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.6,-1.1,-0.7,2
24643,manual,False,280.8,W,210,-70.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.7,-1.2,-0.7,2
25743,manual,False,280.8,W,210,-70.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.7,-1.2,-0.7,2
27105,manual,True,280.6,W,210,-70.6,1757,1754,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.40,0.89,-5.0,-1.0,-1.3,2
28173,manual,True,280.5,W,210,-70.5,1781,1781,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.88,-4.5,-1.7,-0.8,2
29284,manual,True,280.5,W,210,-70.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.38,0.89,-4.9,-1.2,-0.7,2
30373,manual,True,280.7,W,210,-70.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.9,-0.8,-0.7,2
31447,manual,False,280.8,W,210,-70.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.7,-1.0,-0.7,2
32465,autonomous,False,280.9,W,210,-70.9,1118,1118,2000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.40,0.90,-5.1,-1.8,-0.8,2
33475,autonomous,False,280.3,W,210,-70.3,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.38,0.91,-4.8,-0.2,-1.2,2
34546,autonomous,False,279.9,W,210,-69.9,1703,1703,2000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.38,0.91,-3.7,-1.6,-0.8,1
35635,autonomous,False,280.4,W,210,-70.4,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.98,-3.2,-2.9,-0.9,1
36716,autonomous,False,280.7,W,210,-70.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.39,0.87,-3.8,-1.5,-0.6,1
37836,autonomous,False,280.7,W,210,-70.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.42,0.86,-3.9,-1.7,-0.7,0
38916,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.36,0.87,-5.0,-0.3,-0.9,-1
39967,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.37,0.90,-4.9,-1.4,-0.4,-1
41049,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.92,-4.5,-0.7,-0.3,-2
42148,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.38,0.90,-5.0,-1.1,-0.4,-3
43231,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.39,0.89,-4.7,-1.5,-0.8,-3
44249,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.06,-0.44,0.91,-4.8,-1.9,-0.1,-3
45357,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.12,-0.32,0.88,-5.6,0.5,-1.6,-3
46458,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.37,0.90,-5.1,-1.7,-0.9,-2
47498,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.37,0.90,-5.5,-0.1,-1.1,-2
48579,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.35,0.91,-6.0,0.2,-1.1,-1
49693,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.40,0.93,-5.9,-2.0,-1.0,0
50788,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.40,0.89,-5.2,-1.6,-0.7,0
52320,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_FIX,N/A,N/A,N/A,0,-0.05,-0.39,0.87,-4.5,-1.2,-1.3,0
53389,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.38,0.92,-4.9,-0.2,-1.3,1
54449,autonomous,False,280.7,W,210,-70.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.09,-0.37,0.85,-5.1,-2.1,-1.2,2
55520,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.35,0.87,-5.1,-0.7,-0.9,2
56610,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.35,0.89,-5.0,-1.0,-1.8,3
57700,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.41,0.91,-4.3,-2.5,0.5,3
58740,autonomous,False,280.8,W,210,-70.8,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.90,-4.6,-1.7,-0.2,3
59810,autonomous,False,280.7,W,210,-70.7,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.42,0.88,-4.2,-2.2,-0.6,3
60850,autonomous,False,280.6,W,210,-70.6,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.40,0.91,-4.3,-1.3,-0.7,2
