time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
5831,unknown,False,349.2,N,210,-139.2,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.00,-0.39,0.90,-4.7,-1.3,-1.1,0
6918,manual,False,302.2,NW,210,-92.2,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.40,0.90,-4.7,-1.3,-0.6,1
8028,manual,False,291.5,W,210,-81.5,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.39,0.91,-4.7,-1.6,-0.9,1
9105,manual,False,289.9,W,210,-79.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.41,0.90,-4.6,-0.5,-0.9,1
10177,manual,False,288.7,W,210,-78.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.39,0.91,-4.7,-1.5,-0.9,1
11233,manual,False,288.4,W,210,-78.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.39,0.91,-4.9,-1.7,-0.8,1
12299,hover,False,288.1,W,210,-78.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.40,0.95,-4.7,-1.7,-1.0,1
13381,hover,False,288.1,W,210,-78.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.95,-4.6,-1.6,-0.9,2
14470,hover,False,287.9,W,210,-77.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.41,0.89,-5.0,-1.6,-0.8,3
15548,hover,False,287.9,W,210,-77.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.39,0.89,-4.9,-2.1,-0.9,3
16640,hover,False,288.0,W,210,-78.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.39,0.94,-4.7,-1.2,-0.6,3
17721,hover,False,288.1,W,210,-78.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.38,0.95,-5.1,-1.4,-0.7,2
19640,hover,False,288.1,W,210,-78.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.01,-0.38,0.83,-4.9,-2.3,-0.8,2
20746,hover,False,288.2,W,210,-78.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.40,0.81,-4.7,-0.9,-0.6,2
