time_ms,mode,path_planning,heading,cardinal,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
1957382,manual,False,338.6,N,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.47,0.88,-4.9,-1.2,-0.7,0
1958443,manual,False,245.2,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.86,-4.5,-1.3,-0.5,0
1959509,manual,False,223.5,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.6,-1.4,-0.8,0
1960578,manual,False,218.6,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.85,-4.7,-1.3,-0.8,0
1961648,hover,False,217.6,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.52,0.93,-3.8,-0.6,-1.2,1
1962723,hover,False,217.1,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.02,-0.45,0.96,-4.7,-1.3,-0.8,1
1963787,manual,False,217.0,SW,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.8,-1.2,-0.7,1
1964863,hover,False,217.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.49,0.99,-4.4,-1.5,-0.8,2
1965929,manual,False,217.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.7,-1.5,-0.9,2
1967056,manual,True,216.9,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.6,-1.4,-0.7,2
1968136,manual,True,217.0,SW,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.7,-1.3,-0.9,2
1969219,manual,True,217.1,SW,1192,1191,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.47,0.86,-4.9,-1.0,-0.7,2
1970299,manual,True,217.2,SW,1248,1248,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.48,0.86,-4.9,-1.7,-0.8,2
1971377,manual,True,217.2,SW,1348,1345,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.87,-4.8,-1.4,-0.9,2
1972458,manual,True,217.4,SW,1471,1468,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.7,-1.8,-0.9,2
1973543,manual,True,217.4,SW,1637,1380,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.44,0.85,-4.6,-0.8,-0.8,2
1974624,manual,True,217.4,SW,1776,1271,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.86,-4.8,-2.1,-0.7,2
1975711,manual,True,217.3,SW,1901,1164,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.50,0.87,-4.6,0.4,-1.0,2
1976797,manual,True,217.2,SW,1943,1120,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.48,0.85,-4.4,-0.1,-1.1,2
1977883,manual,True,217.3,SW,1645,1422,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.44,0.84,-4.6,-1.1,-0.9,2
1978880,manual,True,217.3,SW,1433,1638,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.47,0.85,-4.7,-0.8,-0.7,2
1979951,manual,True,217.2,SW,1304,1779,1000,NO_FIX,N/A,N/A,N/A,0,-0.01,-0.46,0.84,-4.5,0.2,-0.6,2
1981036,manual,True,217.3,SW,1152,1949,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.48,0.89,-4.3,-1.2,-1.0,2
1982110,manual,True,217.2,SW,1046,2000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.46,0.85,-5.0,-2.8,-0.5,2
1983184,manual,True,217.1,SW,1052,2000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.46,0.84,-4.7,-0.9,-0.7,2
1984260,manual,True,217.3,SW,1545,1618,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.47,0.87,-4.7,-1.3,-1.0,2
1985342,manual,True,217.3,SW,1499,1499,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.47,0.87,-4.7,-1.8,-0.7,2
1986423,manual,True,217.3,SW,1271,1271,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.47,0.86,-4.7,-1.1,-0.9,2
