time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
8043,unknown,False,348.4,N,210,-138.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,0.00,-0.32,0.91,-4.7,-0.9,-1.0,0
9092,hover,False,298.1,NW,210,-88.1,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.05,-0.33,0.92,-5.3,-1.3,-1.0,0
10194,hover,False,286.3,W,210,-76.3,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.28,0.87,-5.5,-1.8,-1.3,1
11304,hover,False,283.7,W,210,-73.7,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.07,-0.23,0.93,-4.6,0.3,-1.0,2
12380,hover,False,283.1,W,210,-73.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.04,-0.30,0.90,-5.0,-1.3,-1.4,2
13452,manual,False,283.0,W,210,-73.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.33,0.92,-4.6,-1.1,-0.9,3
14459,manual,False,282.9,W,210,-72.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.32,0.91,-4.5,-1.2,-0.9,3
15565,manual,False,282.9,W,210,-72.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.32,0.93,-4.7,-1.3,-0.7,3
