time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
7524,unknown,False,339.6,N,210,-129.6,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.43,0.89,-4.7,-1.7,-0.7,0
8526,unknown,False,322.3,NW,210,-112.3,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.11,-0.40,0.83,-5.6,-3.1,-1.3,0
9556,unknown,False,246.9,SW,210,-36.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.10,-0.38,0.92,-6.1,-0.0,-1.8,1
10586,unknown,False,229.5,SW,210,-19.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.44,0.89,-5.0,-1.6,-0.8,2
11646,unknown,False,225.4,SW,210,-15.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.11,-0.38,0.88,-5.6,-0.6,-1.4,3
12727,unknown,False,225.0,SW,210,-15.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.18,-0.36,0.89,-4.6,0.4,-22.8,3
13817,autonomous,False,228.0,SW,210,-18.0,1000,1000,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.45,0.87,-6.3,4.0,-4.7,3
14868,autonomous,False,230.1,SW,210,-20.1,1165,1164,2000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.43,0.92,-4.1,1.3,-5.0,3
15898,autonomous,False,232.0,SW,210,-22.0,1179,1178,2000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.42,0.87,-4.6,0.3,-5.8,3
16948,manual,False,234.0,SW,210,-24.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.42,0.89,-5.5,-0.6,-4.1,2
18028,manual,False,235.5,SW,210,-25.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.43,0.89,-2.5,-1.4,-3.0,2
19118,manual,False,236.5,SW,210,-26.5,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.42,0.90,-5.2,-0.6,-2.0,2
20215,manual,False,237.1,SW,210,-27.1,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.42,0.89,-6.1,-0.5,-1.4,2
21314,manual,False,237.7,SW,210,-27.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.43,0.87,-6.1,-1.9,-0.6,2
22396,manual,False,239.0,SW,210,-29.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.43,0.87,9.0,-4.7,0.9,2
