time_ms,mode,path_planning,heading,cardinal,target,error,left_motor,right_motor,auto_motor,gps_status,lat,lon,alt,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,encoder_pos
10760,unknown,False,343.4,N,210,-133.4,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.02,-0.39,0.89,-4.7,-1.1,-0.8,0
11859,manual,False,271.4,W,210,-61.4,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.38,0.90,-4.6,-1.3,-0.9,1
12950,manual,False,254.8,W,210,-44.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.90,-4.5,-1.2,-0.7,1
14040,manual,False,251.0,W,210,-41.0,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.02,-0.38,0.89,-4.6,-1.2,-0.9,1
15121,manual,False,250.2,W,210,-40.2,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.03,-0.39,0.89,-4.5,-1.1,-0.8,1
16188,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.37,0.89,-3.8,-3.5,-0.6,1
17254,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.06,-0.41,0.86,-4.2,-1.2,-1.4,1
18350,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_FIX,N/A,N/A,N/A,0,-0.08,-0.44,0.93,-4.8,-1.9,-0.9,2
19436,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.00,-0.40,0.90,-4.2,-2.7,-0.6,3
20523,hover,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.40,0.95,-5.3,0.8,-0.8,4
21601,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.01,-0.42,0.90,-4.6,-1.7,-0.8,3
22691,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.37,0.86,-4.2,-1.8,-0.4,3
23781,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.37,0.86,-4.3,-1.6,-0.3,2
24865,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.02,-0.39,0.90,-5.0,-0.7,-0.8,1
25955,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.03,-0.35,0.88,-4.4,-1.0,-0.4,1
27044,hover,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.05,-0.35,0.91,-4.7,-0.7,-0.3,0
28041,hover,False,249.7,W,210,-39.7,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.04,-0.41,0.93,-4.6,-1.8,-0.8,-1
29105,hover,False,249.8,W,210,-39.8,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,-0.00,-0.36,0.88,-5.0,-1.8,-0.6,-2
30119,hover,False,249.9,W,210,-39.9,1000,1000,1000,NO_DATA,N/A,N/A,N/A,0,0.01,-0.40,0.89,-4.5,-1.4,-0.8,-2
