time_ms,left_motor,right_motor
25991,1405,1404
26193,1351,1351
26307,1314,1314
26418,1315,1314
26518,1315,1314
26618,1316,1315
27530,1229,1229
27667,1180,1180
27797,1132,1131
27928,1087,1086
28058,1042,1041
28198,1000,1000
28328,1000,1000
28580,1000,1000
28718,1053,1053
28859,1129,1129
29003,1165,1165
29137,1164,1164
29268,1164,1164
29399,1164,1164
29662,1161,1161
29820,1134,1134
29959,1125,1125
30099,1125,1125
30238,1106,1106
30378,1082,1082
30508,1062,1062
30772,1001,1000
30931,1000,1000
31068,2000,1000
31209,1000,1000
31348,1000,1000
31508,1000,1000
31773,1000,1000
31930,1000,1000
32069,1000,1000
32209,1037,1037
32349,1056,1056
32488,1076,1076
32629,1091,1091
32895,1131,1131
33029,1135,1135
33170,1140,1140
33310,1140,1140
33449,1139,1139
33589,1139,1139
33728,1138,1138
33996,1138,1137
34130,1137,1137
34275,1136,1135
34410,1136,1136
34550,1136,1136
34690,1133,1132
34829,1000,1000
35098,1000,1000
35230,2000,1000
35369,1000,1000
35511,1000,1000
35650,1000,1000
35791,1000,1000
35930,1000,1000
36197,1000,1000
36353,1000,1000
36490,1000,2000
36630,1000,1000
36785,1000,1000
