time_ms,left_motor,right_motor
473951,1010,1010
474059,1374,1374
474164,1467,1467
474265,1487,1487
474365,1494,1493
474494,1345,1350
474626,1230,1235
474891,1000,1000
475024,1000,1000
475154,1000,1000
475644,1355,1355
475912,1531,1531
476044,1554,1554
476175,1546,1551
476306,1327,1327
476434,1152,1152
476564,1000,1000
476694,1000,1000
476963,1000,1000
477094,1000,1000
477224,1000,1000
477354,1000,1000
477485,1000,1000
477615,1000,1000
477746,1000,1000
478024,1000,1000
478155,1000,1000
478286,1000,1000
478416,1000,1000
478546,1000,1000
478672,1000,1000
478801,1000,1000
