time_ms,left_motor,right_motor
35443,1093,1093
35664,1114,1115
35767,1448,1448
35882,1461,1462
36006,1403,1406
37266,1000,1000
37390,1000,1000
37523,1000,1000
37653,1000,1000
37783,1000,1000
37914,1000,1000
38044,1000,1000
38323,1038,1039
38453,1207,1207
38584,1280,1280
38715,1408,1408
38845,1416,1416
38974,1421,1421
39103,1211,1200
39385,1000,1000
39515,1000,1000
39644,1000,1000
39774,1000,1000
39906,1000,1000
40034,1000,1000
40164,1000,1000
40444,1000,1000
40574,1000,1000
40704,1000,1000
40834,1000,1000
40964,1000,1000
41091,1000,1000
41248,1000,1000
