time_ms,left_motor,right_motor
2077025,1000,1000
2077144,1000,1000
2077265,1000,1000
2077387,1017,1016
2077514,1019,1018
2077634,1021,1020
2077884,1026,1025
2078014,1029,1028
2078143,1036,1035
2078274,1037,1036
2078404,1037,1036
2078535,1037,1036
2078665,1038,1037
2078923,1037,1036
2079054,1040,1039
2079184,1048,1047
2079314,1049,1048
2079812,1053,1052
2080075,1056,1055
2080206,1056,1055
2080341,1057,1056
2080476,1057,1056
2080606,1057,1056
2080734,1057,1056
2080864,1057,1056
2081126,1057,1056
2081254,1057,1056
2081385,1057,1056
2081515,1056,1055
2081646,1057,1056
2081778,1057,1056
2081916,1057,1056
2082177,1058,1057
2082316,1058,1057
2082440,1058,1057
2082575,1058,1057
2082705,1058,1057
2082835,1058,1057
2082965,1058,1057
2083228,1058,1057
2084566,1059,1058
2084693,1062,1061
2084824,1063,1062
2084955,1063,1062
2085083,1066,1065
2085214,1067,1066
2085355,1067,1066
2085618,1067,1066
2085753,1066,1065
2085883,1066,1065
2086013,1065,1064
2086143,1065,1064
2086273,1064,1063
2086404,1064,1063
2086668,1064,1063
2086795,1064,1063
2086939,1064,1063
2087075,1064,1063
2087204,1064,1063
2087344,1063,1062
2087474,1063,1062
2087740,1058,1058
2087876,1046,1046
2088006,1046,1046
2088136,1046,1046
2088276,1039,1039
2088414,1038,1038
2088545,1033,1033
2088810,1030,1030
2088968,1028,1028
2089115,1022,1021
2089256,1020,1020
2089401,1017,1017
2089537,1016,1016
2089664,1016,1016
2089931,1012,1011
2090064,1012,1011
2090208,1001,1000
2090346,1000,1000
2090486,1000,1000
2090626,1000,1000
2090766,1000,1000
2091041,1000,1000
2091175,1000,1000
2091317,1000,1000
2091456,1000,1000
2091595,1000,1000
2093050,1000,1000
2093194,1000,1000
2093340,1000,1000
2093483,1000,1000
2093625,1000,1000
2093764,1000,1000
2093903,1000,1000
