time_ms,left_motor,right_motor
1469923,1125,1125
1470028,1557,1557
1470132,1583,1583
1470251,1616,1616
1471273,1614,1614
1471400,1000,1000
1471532,1000,1000
1471662,1000,1000
1471793,1000,1000
1471923,1000,1000
1472054,1056,1055
1472324,1498,1591
1472453,1531,1634
1472583,1497,1500
1472713,1218,1218
1472843,1096,1096
1472973,1000,1000
1473103,1000,1000
1473383,1000,1000
1473513,1000,1000
1473643,1000,1000
1473774,1000,1000
1473904,1000,1000
1474034,1000,1000
1474164,1000,1000
1474445,1000,1000
1474574,1000,1000
