time_ms,left_motor,right_motor
113,1000,1000
231,1000,1000
349,1000,1000
461,1000,1000
578,1000,1000
691,1000,1000
803,1000,1000
916,1034,1033
1091,1050,1049
1206,1054,1053
1321,1070,1069
1443,1101,1100
1556,1126,1125
1669,1137,1136
1790,1144,1143
1902,1147,1146
2020,1149,1148
2220,1153,1152
2341,1156,1155
2456,1157,1156
2569,1161,1160
2686,1168,1167
2800,1173,1172
2913,1176,1175
3024,1179,1178
3262,1182,1181
3377,1214,1213
3489,1217,1216
3603,1217,1216
3716,1219,1218
3829,1220,1219
3943,1221,1220
4063,1248,1247
4182,1250,1249
4342,1251,1249
4464,1244,1244
4581,1244,1244
4695,1242,1242
4812,1226,1226
4927,1200,1200
5042,1186,1186
5157,1177,1177
5273,1166,1166
7361,1165,1165
7513,1000,1000
7627,1000,1000
7745,1000,1000
7858,1000,1000
7970,1000,1000
8083,1000,1000
8199,1000,1000
8314,1000,1000
8428,1000,1000
8574,1000,1000
8686,1000,1000
8801,1000,1000
8927,1000,1000
9042,1000,1000
9157,1000,1000
9277,1000,1000
9392,1000,1000
9506,1000,1000
9667,1000,1000
9781,1000,1000
