time_ms,left_motor,right_motor
220,1000,1000
334,1000,1000
446,1000,1000
558,1000,1000
674,1000,1000
791,1020,1019
911,1034,1033
1026,1058,1058
1144,1061,1061
3278,1113,1112
3452,1116,1115
3565,1118,1117
3678,1118,1117
3801,1117,1116
3926,1118,1117
4045,1120,1119
4161,1123,1122
4278,1123,1122
4396,1122,1121
4594,1123,1122
4714,1124,1123
4831,1125,1124
4943,1122,1121
5055,1112,1112
5170,1111,1111
5282,1109,1109
5394,1099,1099
5653,1089,1089
5771,1087,1087
5888,1082,1082
6010,1081,1081
6124,1070,1070
6242,1062,1062
6362,1056,1056
6481,1049,1049
6655,1037,1037
6771,1035,1035
6892,1017,1017
7004,1009,1010
7117,1000,1000
7236,1000,1000
7349,1000,1000
7461,1019,1018
7573,1048,1047
7744,1064,1063
7860,1079,1076
7974,1097,1094
8095,1100,1097
8209,1067,1067
8324,1033,1033
8446,1000,1000
8561,1000,1000
8675,1024,1023
8857,1061,1060
8978,1086,1085
9092,1115,1114
9206,1142,1141
9321,1143,1142
9439,1136,1136
9552,1062,1062
9670,1012,1012
9786,1000,1000
9964,1000,1000
10077,1000,1000
10190,1000,1000
10301,1000,1000
10415,1000,1000
10532,1000,1000
10654,1000,1000
10771,1000,1000
10898,1000,1000
