time_ms,left_motor,right_motor
44902,1370,1370
45013,1671,1671
45237,1735,1732
45357,1721,1721
45478,1441,1441
45583,1203,1203
46399,1913,1913
46556,1914,1911
46682,1908,1911
46812,1715,1715
46942,1204,1204
47073,1000,1000
47203,1000,1000
47544,1000,1000
47673,1000,1000
47808,1000,1000
47934,1000,1000
48063,1000,1000
48193,1000,1000
48323,1000,1000
48575,1000,1000
48704,1000,1000
48833,1000,1000
48963,1000,1000
49093,1000,1000
49223,1000,1000
49353,1000,1000
49607,1000,1000
49735,1000,1000
49863,1000,1000
49993,1000,1000
50114,1000,1000
