time_ms,left_motor,right_motor
54709,1196,1195
54934,1197,1197
55034,1197,1196
55154,1249,1248
55274,1264,1263
55377,1288,1287
55498,1297,1296
55638,1306,1305
55780,1298,1298
58180,1000,1000
58435,1000,1000
58568,1000,1000
58698,1000,1000
58839,1000,1000
58978,1000,1000
59118,1000,1000
59248,1000,1000
59506,1000,1000
59638,1057,1057
59779,1157,1156
59918,1242,1241
60058,1274,1273
60189,1275,1272
60329,1265,1266
60586,1193,1193
60725,1000,1000
60860,1000,1000
61000,1000,1000
61140,1000,1000
61280,1000,1000
61420,1000,1000
61678,1000,1000
61809,1191,1190
61950,1260,1257
62091,1280,1277
62229,1295,1292
62369,1296,1293
62510,1294,1293
62809,1176,1175
62950,1012,1011
63090,1000,1000
63230,1000,1000
63380,1000,1000
63521,1000,1000
63780,1000,1000
63921,1000,1000
64061,1000,1000
64200,1000,1000
64340,1000,1000
64479,1000,1000
64622,1000,1000
64880,1000,1000
