time_ms,left_motor,right_motor
44847,1000,1000
44972,1000,1000
45075,1000,1000
45195,1093,1092
45300,1248,1247
45411,1430,1430
45511,1612,1612
45792,1695,1695
45930,2000,2000
46071,1600,1600
46856,1000,1000
46982,1000,1000
47117,1000,1000
47243,1000,1000
47363,1090,1090
47492,1195,1195
47613,1906,1906
47954,2000,1968
48072,2000,2000
48203,2000,2000
48323,1687,1687
48442,1376,1376
48574,1182,1182
48703,1000,1000
48936,1000,1000
49054,1000,1000
49174,1000,1000
49293,1000,1000
49407,1000,1000
49524,1000,1000
49656,1000,1000
49780,1000,1000
50016,1000,1000
50133,1000,1000
50253,1000,1000
50373,1000,1000
50503,1000,1000
50625,1000,1000
50753,1000,1000
50873,1000,1000
