time_ms,left_motor,right_motor
37225,1000,1000
37347,1000,1000
37468,1000,1000
37593,1044,1044
37715,1108,1108
37834,1129,1129
38055,1223,1222
38187,1265,1262
38318,1272,1269
38448,1289,1289
38589,1308,1307
38729,1304,1305
38869,1231,1231
39136,1100,1100
39258,1053,1052
39399,1000,1000
39539,1000,1000
39679,1000,1000
39819,1000,1000
39958,1000,1000
40206,1073,1072
40338,1118,1117
40479,1200,1200
40619,1243,1244
40758,1266,1269
40898,1285,1288
41039,1300,1305
41307,1294,1307
41439,1282,1311
41580,1138,1149
41720,1038,1039
41860,1000,1000
41999,1000,1000
42140,1000,1000
42408,1000,1000
42550,1035,1035
42690,1192,1191
42830,1263,1268
42969,1243,1280
43110,1066,1069
43250,1000,1000
43518,1203,1203
43661,1408,1441
43809,1245,1246
43950,1033,1033
44090,1000,1000
44231,1000,1000
44370,1000,1000
44650,1000,1000
44791,1402,1403
44930,1045,1046
45438,1327,1327
45708,1000,1000
45838,1000,1000
45967,1027,1027
46097,1289,1290
46227,1000,1000
46357,1000,1000
46487,1000,1000
46759,1000,1000
46902,1000,1000
47038,1000,1000
47168,1000,1000
47318,1000,1000
47448,1000,1000
47587,1000,1000
47860,1000,1000
47998,1000,1000
48139,1000,1000
48279,1000,1000
48418,1000,1000
48558,1000,1000
48689,1000,1000
