time_ms,left_motor,right_motor
47143,1463,1463
47263,1491,1491
47393,1492,1492
47725,1381,1381
47847,1138,1138
47966,1062,1062
48086,1009,1009
48213,1000,1000
48343,1000,1000
48473,1000,1000
48726,1000,1000
48853,1337,1334
48983,1406,1403
49113,1499,1499
49243,1508,1511
49374,1520,1520
49503,1522,1522
49758,1495,1496
49884,1204,1204
50021,1000,1000
50154,1000,1000
50284,1000,1000
50414,1000,1000
50544,1000,1000
50798,1000,1000
50924,1000,1000
51054,1000,1000
51185,1000,1000
51314,1000,1000
51445,1000,1000
51575,1000,1000
51830,1000,1000
51964,1000,1000
