time_ms,left_motor,right_motor
2044063,1040,1041
2044184,1043,1044
2044303,1043,1044
2044425,1043,1044
2044544,1043,1044
2044666,1044,1044
2044928,1050,1049
2045070,1052,1051
2045204,1056,1055
2045333,1057,1056
2045463,1059,1059
2045594,1060,1061
2045724,1066,1067
2045988,1088,1089
2046113,1089,1090
2046244,1089,1090
2046374,1090,1089
2046504,1089,1088
2046634,1089,1088
2046765,1088,1087
2047029,1086,1086
2047188,1086,1086
2047324,1086,1086
2047454,1085,1085
2047584,1086,1086
2047715,1086,1085
2047844,1085,1085
2048111,1085,1084
2048245,1087,1078
2048375,1088,1077
2048505,1036,1025
2048636,1039,1026
2048764,1046,1029
2048894,1047,1030
2049161,1076,1047
2049295,1078,1049
2049424,1098,1061
2049555,1107,1066
2049685,1109,1066
2049815,1110,1067
2049945,1110,1067
2051260,1101,1082
2051393,1100,1083
2051534,1101,1082
2051663,1101,1082
2051804,1102,1081
2051933,1102,1081
2052063,1102,1081
2052331,1102,1081
2052474,1101,1082
2052604,1101,1082
2052733,1100,1081
2052864,1099,1082
2052994,1098,1081
2053124,1097,1080
2053391,1092,1077
2053547,1091,1076
2053673,1091,1076
2053803,1090,1075
2053934,1073,1062
2054064,1069,1058
2054195,1069,1058
2054473,1069,1058
2054615,1067,1056
2054744,1066,1055
2054874,1065,1054
2055004,1065,1054
2055135,1063,1054
2055265,1062,1053
2055545,1064,1051
2055674,1059,1050
2055805,1048,1041
2055935,1038,1033
2056066,1036,1031
2056194,1008,1007
2056336,1000,1000
2056614,1000,1000
2056745,1000,1000
2056875,1000,1000
2057006,1000,1000
2057134,1000,1000
2057266,1000,1000
2057406,1000,1000
2057686,1000,1000
2057826,1000,1000
2057966,1000,1000
2058106,1000,1000
2058246,1000,1000
2058385,1000,1000
