time_ms,left_motor,right_motor
42649,1000,1000
42775,1025,1025
42896,1046,1046
43015,1063,1063
43134,1090,1090
43239,1123,1123
43339,1173,1173
43679,1409,1409
43820,1500,1500
43961,1648,1648
44100,1758,1758
44239,1878,1878
44379,1837,1840
44663,1720,1711
44799,1126,1126
44940,1000,1000
45079,1000,1000
45220,1000,1000
45360,1000,1000
45490,1000,1000
45784,1244,1243
45921,1467,1464
46060,1548,1545
46201,1681,1676
46341,1813,1810
46480,1913,1910
46620,1938,1935
47020,1169,1168
47159,1000,1000
47702,1000,1000
47959,1000,1000
48098,1000,1000
48238,1000,1000
48357,1000,1000
48498,1000,1000
48638,1000,1000
48767,1000,1000
49020,1000,1000
49180,1039,1038
49319,1045,1044
49458,1072,1071
49597,1100,1099
49728,1101,1100
49858,1101,1100
50121,1122,1121
50258,1123,1122
50407,1135,1114
50537,1146,1103
50668,1197,1062
50798,1296,1035
50938,1384,1000
51192,1382,1000
51350,1184,1184
51489,1137,1226
51629,1077,1286
51768,1004,1359
51908,1000,1366
52049,1000,1366
52314,1183,1183
52458,1183,1183
52600,1182,1182
52739,1181,1181
52878,1127,1127
53024,1000,1000
53160,1000,1000
53424,1000,1000
53559,1000,1000
53688,1000,1000
53820,1000,1000
53960,1000,1000
54100,1000,1000
54240,1000,1000
54515,1000,1000
54672,1000,1000
54810,1000,1000
54939,1000,1000
55080,1000,1000
55229,1000,1000
